Column3,Column4,Column5
4674,missing a crane completely,iPhone
2908,landing where a building used to be,iPad
6329,knocking a building down,iPad
3857,hitting a wall and tumbling to my death,iPad
14076,missing another window,iPad
12342,hitting a wall and tumbling to my death,iPhone
4612,turning into a fine mist,iPhone
6467,turning into a fine mist,iPhone
4075,hitting a wall and tumbling to my death,iPhone
2988,hitting a wall and tumbling to my death,iPhone
4422,hitting a wall and tumbling to my death,iPad
2227,hitting a wall and tumbling to my death,iPod touch
1950,hitting a wall and tumbling to my death,iPad
3419,hitting a wall and tumbling to my death,iPad
895,missing a crane completely,iPhone
2921,hitting a wall and tumbling to my death,iPod touch
8304,missing another window,iPhone
1115,hitting a wall and tumbling to my death,iPhone
19580,missing another window,iPhone
1352,hitting a wall and tumbling to my death,iPhone
3130,colliding with some enormous obstacle,iPhone
3211,missing another window,iPhone
5948,hitting a wall and tumbling to my death,iPad
979,hitting a wall and tumbling to my death,iPhone
3372,hitting a wall and tumbling to my death,iPhone
2468,missing another window,iPhone
993,hitting a wall and tumbling to my death,iPhone
2452,hitting a wall and tumbling to my death,iPhone
2779,hitting a wall and tumbling to my death,iPhone
2639,landing where a building used to be,iPhone
4918,hitting a wall and tumbling to my death,iPad
4509,colliding with some enormous obstacle,iPhone
3169,hitting a wall and tumbling to my death,iPhone
4304,turning into a fine mist,iPhone
3604,hitting a wall and tumbling to my death,iPod touch
5876,hitting a wall and tumbling to my death,iPad
4529,turning into a fine mist,iPhone
12048,missing another window,iPhone
7238,hitting a wall and tumbling to my death,iPad
8774,somehow hitting the edge of a billboard,iPad
3542,hitting a wall and tumbling to my death,iPod touch
2529,missing another window,iPhone
4332,hitting a wall and tumbling to my death,iPhone
4244,hitting a wall and tumbling to my death,iPhone
5636,missing another window,iPad
11545,missing another window,iPad
3369,hitting a wall and tumbling to my death,iPhone
2555,hitting a wall and tumbling to my death,iPhone
11790,hitting a wall and tumbling to my death,iPhone
