Column3,Column4,Column5
1468,hitting a wall and tumbling to my death,iPad
681,hitting a wall and tumbling to my death,iPad
5486,missing another window,iPad
3038,missing another window,iPad
2905,missing another window,iPhone
5379,missing another window,iPhone
2260,hitting a wall and tumbling to my death,iPad
3004,hitting a wall and tumbling to my death,iPod touch
2710,turning into a fine mist,iPod touch
5820,knocking a building down,iPhone
1998,hitting a wall and tumbling to my death,iPhone
2745,hitting a wall and tumbling to my death,iPod touch
2392,turning into a fine mist,iPad
1424,hitting a wall and tumbling to my death,iPad
880,colliding with some enormous obstacle,iPhone
2089,hitting a wall and tumbling to my death,iPhone
2470,hitting a wall and tumbling to my death,iPhone
2889,hitting a wall and tumbling to my death,iPad
4304,hitting a wall and tumbling to my death,iPhone
2065,falling to my death,iPod touch
1852,hitting a wall and tumbling to my death,iPhone
3611,hitting a wall and tumbling to my death,iPad
1654,falling to my death,iPhone
708,hitting a wall and tumbling to my death,iPhone
5408,hitting a wall and tumbling to my death,iPad
7572,hitting a wall and tumbling to my death,iPad
3139,hitting a wall and tumbling to my death,iPhone
5300,hitting a wall and tumbling to my death,iPhone
6052,hitting a wall and tumbling to my death,iPhone
5665,hitting a wall and tumbling to my death,iPad
4000,missing a crane completely,iPad
567,falling to my death,iPhone
2539,missing another window,iPhone
1910,hitting a wall and tumbling to my death,iPhone
4523,hitting a wall and tumbling to my death,iPod touch
2785,hitting a wall and tumbling to my death,iPhone
4040,hitting a wall and tumbling to my death,iPad
3516,missing another window,iPhone
3949,turning into a fine mist,iPhone
1296,hitting a wall and tumbling to my death,iPhone
1276,hitting a wall and tumbling to my death,iPad
8874,colliding with some enormous obstacle,iPhone
1359,falling to my death,iPhone
6123,hitting a wall and tumbling to my death,iPad
6126,hitting a wall and tumbling to my death,iPhone
3481,hitting a wall and tumbling to my death,iPhone
3081,missing another window,iPhone
1887,turning into a fine mist,iPhone
4427,hitting a wall and tumbling to my death,iPad
1840,hitting a wall and tumbling to my death,iPad
1460,hitting a wall and tumbling to my death,iPod touch
3756,hitting a wall and tumbling to my death,iPad
8369,falling to my death,iPad
3531,hitting a wall and tumbling to my death,iPhone
7219,missing another window,iPad
7902,missing another window,iPhone
2230,hitting a wall and tumbling to my death,iPhone
2598,hitting a wall and tumbling to my death,iPod touch
5358,missing another window,iPad
1769,hitting a wall and tumbling to my death,iPhone
11403,hitting a wall and tumbling to my death,iPhone
3145,missing another window,iPhone
1781,falling to my death,iPhone
1590,hitting a wall and tumbling to my death,iPad
1790,hitting a wall and tumbling to my death,iPad
1820,hitting a wall and tumbling to my death,iPhone
6662,missing another window,iPhone
3017,not quite reaching a billboard,iPod touch
5613,turning into a fine mist,iPhone
17995,missing another window,iPad
1089,hitting a wall and tumbling to my death,iPad
3643,falling to my death,iPod touch
4132,turning into a fine mist,iPad
4904,hitting a wall and tumbling to my death,iPhone
4344,hitting a wall and tumbling to my death,iPhone
5597,turning into a fine mist,iPad
4028,hitting a wall and tumbling to my death,iPhone
5678,missing another window,iPhone
2568,missing another window,iPhone
6100,hitting a wall and tumbling to my death,iPad
5388,hitting a wall and tumbling to my death,iPhone
2961,hitting a wall and tumbling to my death,iPad
4111,colliding with some enormous obstacle,iPad
6001,hitting a wall and tumbling to my death,iPad
1692,missing another window,iPhone
2105,hitting a wall and tumbling to my death,iPhone
1776,missing another window,iPhone
2161,hitting a wall and tumbling to my death,iPhone
12588,hitting a wall and tumbling to my death,iPhone
5870,missing another window,iPad
1490,hitting a wall and tumbling to my death,iPhone
11465,hitting a wall and tumbling to my death,iPhone
694,hitting a wall and tumbling to my death,iPad
5188,hitting a wall and tumbling to my death,iPad
787,hitting a wall and tumbling to my death,iPad
2585,hitting a wall and tumbling to my death,iPod touch
2704,missing another window,iPhone
5568,missing another window,iPhone
3220,hitting a wall and tumbling to my death,iPod touch
2856,hitting a wall and tumbling to my death,iPad
3054,hitting a wall and tumbling to my death,iPhone
6496,hitting a wall and tumbling to my death,iPad
1505,landing where a building used to be,iPhone
1702,hitting a wall and tumbling to my death,iPhone
3803,not quite reaching a billboard,iPhone
15184,missing another window,iPad
2308,hitting a wall and tumbling to my death,iPhone
16441,turning into a fine mist,iPad
4450,riding a falling building all the way down,iPhone
4290,turning into a fine mist,iPad
16424,missing another window,iPad
4145,hitting a wall and tumbling to my death,iPad
1308,missing another window,iPod touch
1134,missing another window,iPod touch
3203,hitting a wall and tumbling to my death,iPod touch
750,missing another window,iPhone
4452,hitting a wall and tumbling to my death,iPad
6491,hitting a wall and tumbling to my death,iPhone
4108,somehow hitting the edge of a billboard,iPad
1608,hitting a wall and tumbling to my death,iPhone
3364,missing another window,iPad
5403,falling to my death,iPhone
2444,hitting a wall and tumbling to my death,iPhone
2400,hitting a wall and tumbling to my death,iPhone
6993,riding a falling building all the way down,iPhone
2000,missing a crane completely,iPhone
5320,hitting a wall and tumbling to my death,iPhone
2896,hitting a wall and tumbling to my death,iPhone
5923,missing another window,iPhone
7628,hitting a wall and tumbling to my death,iPhone
7848,missing another window,iPhone
3504,hitting a wall and tumbling to my death,iPhone
1302,hitting a wall and tumbling to my death,iPhone
12758,colliding with some enormous obstacle,iPad
2532,turning into a fine mist,iPad
4546,not quite reaching a billboard,iPod touch
2849,knocking a building down,iPhone
6913,hitting a wall and tumbling to my death,iPhone
2168,missing another window,iPhone
2073,missing another window,iPhone
2649,hitting a wall and tumbling to my death,iPhone
2380,missing another window,iPhone
1822,hitting a wall and tumbling to my death,iPhone
8220,missing another window,iPad
5689,somehow hitting the edge of a billboard,iPad
